# CBT player-team season seed generated from OOTP import_export career stats.
# OOTP numeric player ids and team ids are intentionally omitted because they can change per save.
# KBO Futures affiliates are folded into parent KBO club codes; Sangmu is excluded.
player_key,last_name,first_name,team_code,season_count
butler001edw,Butler,Eddie,NC,1
byeon-000dae,Byun,Dae-su,SAM,2
byeon-000gan,Byun,Gang-Deuk,KIA,5
byeon-000gan,Byun,Gang-Deuk,NC,3
kbo_53307,Byun,Heon-Seong,KIW,2
kbo_72562,Byun,In-Jae,LOT,2
byeon-000jin,Byun,Jin-su,DOO,6
byeon-000jin,Byun,Jin-su,KIA,2
byeon-000jin,Byun,Jin-su,KIW,1
byeon-000san,Byun,Sang-gwon,KIW,5
kbo_60690,Byun,Seon-ung,KIA,1
byeon-000si-,Byun,Si-yeong,LG,1
byun--000woo,Byun,U-hyeok,HH,2
byun--000woo,Byun,U-hyeok,KIA,3
byeon-000yon,Byun,Yong-seon,LOT,4
cabrer001jos,Cabrera,Jose,LOT,1
cabrer001jos,Cabrera,Jose,SSG,3
cacere001edg,Caceres,Edgar,DOO,2
cantu-001jor,Cantu,Jorge,DOO,1
capell001jos,Capellan,Jose,HH,1
carden000rub,Cardenas,Ruben,KIW,1
carden000rub,Cardenas,Ruben,SAM,1
carida001esm,Caridad,Esmailin,SAM,1
carlyl001ear,Carlyle,Buddy,LG,1
carpen001rya,Carpenter,Ryan,HH,2
castan000dan,Castano,Daniel,NC,1
castil001fab,Castillo,Fabio,HH,1
cave--000jak,Cave,Jake,DOO,1
cedeno002jua,Cedeno,Juan,DOO,1
cha---000don,Cha,Dong-cheol,KIA,4
cha---000don,Cha,Dong-cheol,LG,8
cha---001don,Cha,Dong-yeol,LG,9
cha---001don,Cha,Dong-yeol,LOT,2
cha---002don,Cha,Dong-yeong,SAM,3
kbo_78018,Cha,Gi-hun,LG,1
cha---000hwa,Cha,Hwa-jun,KIW,2
kbo_79196,Cha,Hwa-jun,NC,3
cha---000hwa,Cha,Hwa-jun,NC,1
cha---000hwa,Cha,Hwa-jun,SAM,4
kbo_50597,Cha,Hye-seong,LOT,1
cha---000il-,Cha,Il-mok,HH,2
cha---000il-,Cha,Il-mok,KIA,13
cha---000jae,Cha,Jae-yong,KIW,2
cha---000jae,Cha,Jae-yong,LOT,5
kbo_5165,Cha,Jeong-Gu,SAM,1
cha---000jeo,Cha,Jeong-Guk,LOT,3
cha---001jeo,Cha,Jeong-min,KIA,6
kbo_5097,Cha,Jong-hyeon,LOT,1
cha---000jun,Cha,Jun-seop,LG,3
kbo_5314,Cha,Min-gyu,SAM,2
cha---002mye,Cha,Myeong-jin,KIA,4
cha---000mye,Cha,Myeong-ju,DOO,6
cha---000mye,Cha,Myeong-ju,HH,3
cha---000mye,Cha,Myeong-ju,LOT,3
cha---001mye,Cha,Myeong-seok,LG,10
cha---000san,Cha,Sang-Uk,SAM,2
cha---000seu,Cha,Seung-jun,SAM,1
cha---000woo,Cha,U-chan,LG,6
cha---000woo,Cha,U-chan,LOT,1
cha---000woo,Cha,U-chan,SAM,11
cha---000yeo,Cha,Yeong-hwa,KIA,8
cha---001yeo,Cha,Yeong-seok,LOT,2
chae--000bye,Chae,Byeong-yong,SSG,15
chae--000weu,Chae,Eun-seong,HH,3
chae--000weu,Chae,Eun-seong,LG,12
chae--000ki-,Chae,Gi-yeong,HH,2
chae--000hyu,Chae,Hyeon-u,SSG,6
chae--000hye,Chae,Hyeong-jik,SAM,5
chae--000jis,Chae,Ji-seon,DOO,4
chae--000jis,Chae,Ji-seon,LG,3
chae--000jis,Chae,Ji-seon,NC,2
chae--000jon,Chae,Jong-beom,KIA,3
chae--000jon,Chae,Jong-beom,SSG,7
chae--001jon,Chae,Jong-guk,LG,1
chae--001jon,Chae,Jong-guk,SSG,1
chae--000san,Chae,Sang-byeong,DOO,4
chae--000san,Chae,Sang-byeong,HH,2
chae--000san,Chae,Sang-byeong,SAM,6
chae--001san,Chae,Sang-hyeon,KIW,1
kbo_68414,Chae,Sang-jun,SAM,3
chae--000sun,Chae,Seon-Gwan,kt,4
chae--000tae,Chae,Tae-in,KIW,2
chae--000tae,Chae,Tae-in,LOT,2
chae--000tae,Chae,Tae-in,SAM,9
chae--000tae,Chae,Tae-in,SSG,1
kbo_63164,Chae,U-seok,LG,1
chavez001car,Chavez,Carlos,HH,1
chun--000bum,Cheon,Beom-seok,SSG,1
chen--000bo-,Cheon,Bo-seong,SAM,3
chen--000cha,Cheon,Chang-ho,HH,3
chen--000cha,Cheon,Chang-ho,LOT,4
chun--000gye,Cheon,Gyeom,SAM,1
chun--000hyu,Cheon,Hyeon-jae,DOO,3
cheon-000jae,Cheon,Jae-hwan,NC,7
kbo_5313,Cheon,Jae-yeong,SAM,2
kbo_61206,Cheon,Sang-Ung,DOO,1
cheon-000seo,Cheon,Seong-ho,LG,1
cheon-000seo,Cheon,Seong-ho,kt,3
kbo_66103,Cheon,Won-seok,LG,4
kbo_5124,Cheon,Yong-ho,HH,1
chiava001ron,Chiavacci,Ron,SSG,1
chimel001joe,Chimelis,Joel,HH,1
cho---000beo,Cho,Beom-hyeon,DOO,9
cho---000beo,Cho,Beom-hyeon,SAM,2
kbo_69391,Cho,Beom-jun,KIW,3
cho---000bye,Cho,Byeong-chan,SSG,1
kbo_68300,Cho,Byeong-gyu,KIW,1
jo----001bye,Cho,Byeong-hyeon,SSG,3
cho---002bye,Cho,Byeong-Il,LG,3
jo----000bye,Cho,Byeong-uk,kt,5
cho---000cha,Cho,Chan-Gwan,KIA,1
jo----000cha,Cho,Chang-yeon,NC,1
chou--000chu,Cho,Chung-yeol,KIA,9
kbo_54667,Cho,Dae-hyeon,KIA,2
cho---000dae,Cho,Dae-hyeon,kt,6
cho---000do-,Cho,Do-yeon,KIA,4
cho---000don,Cho,Dong-chan,SAM,16
cho---001don,Cho,Dong-hwa,SSG,14
cho---002don,Cho,Dong-hyeon,KIA,3
cho---003don,Cho,Dong-uk,HH,2
kbo_51796,Cho,Eun,HH,2
cho---000eun,Cho,Eun-jin,DOO,2
kbo_53808,Cho,Gang-Hui,SSG,1
cho---000geo,Cho,Geon-hui,LG,3
cho---000kun,Cho,Geun-Jong,LG,3
cho---000kun,Cho,Geun-Jong,kt,4
kbo_5211,Cho,Gwang-Hun,KIA,1
cho---001gye,Cho,Gye-hyeon,DOO,2
cho---001gye,Cho,Gye-hyeon,KIA,9
cho---001gye,Cho,Gye-hyeon,SAM,2
cho---001kyu,Cho,Gyeong-hwan,KIA,2
cho---001kyu,Cho,Gyeong-hwan,LOT,5
cho---001kyu,Cho,Gyeong-hwan,SSG,5
kbo_5154,Cho,Gyeong-hyeon,SAM,1
jo----000kyu,Cho,Gyeong-min,LOT,1
kbo_64064,Cho,Gyeong-min,kt,1
cho---000gye,Cho,Gyeong-taek,DOO,3
cho---000gye,Cho,Gyeong-taek,HH,9
kbo_50412,Cho,Gyeong-won,SAM,2
cho---000gyu,Cho,Gyu-cheol,LOT,7
cho---001gyu,Cho,Gyu-je,KIA,2
cho---001gyu,Cho,Gyu-je,SSG,2
cho---000kyu,Cho,Gyu-su,DOO,2
cho---000kyu,Cho,Gyu-su,HH,8
kbo_65160,Cho,Hak-Jin,LG,2
cho---002han,Cho,Han-Cheol,LG,3
jo----000han,Cho,Han-min,HH,6
cho---000han,Cho,Han-Uk,SSG,1
cho---000han,Cho,Han-Uk,kt,3
cho---000ho-,Cho,Ho,DOO,1
cho---000ho-,Cho,Ho,LG,2
kbo_86799,Cho,Ho-Pyo,HH,1
cho---000hon,Cho,Hong-jun,KIA,1
cho---001hon,Cho,Hong-seok,LOT,6
kbo_5144,Cho,Hui-Hun,LOT,1
cho---000hye,Cho,Hyeon,HH,2
cho---000hye,Cho,Hyeon,KIA,2
cho---001hye,Cho,Hyeon,LG,2
cho---000hye,Cho,Hyeon,LG,2
kbo_67426,Cho,Hyeon-Deok,SAM,1
cho---002hye,Cho,Hyeon-geun,DOO,2
cho---002hye,Cho,Hyeon-geun,SAM,8
cho---003hyu,Cho,Hyeon-jin,HH,2
cho---003hyu,Cho,Hyeon-jin,NC,2
kbo_54907,Cho,Hyeon-min,NC,2
cho---003hye,Cho,Hyeon-su,HH,4
kbo_69512,Cho,Hyeon-su,LOT,2
cho---004hye,Cho,Hyeon-u,LOT,1
cho---004hye,Cho,Hyeon-u,kt,7
cho---002hyu,Cho,Hyeong-sik,SSG,3
cho---006hye,Cho,Hyeong-u,SSG,5
cho---000hyo,Cho,Hyo-sang,HH,8
cho---000hyo,Cho,Hyo-sang,LOT,4
jo----000hyo,Cho,Hyo-won,NC,3
kbo_5186,Cho,In-gwon,SAM,1
cho---001in-,Cho,In-seong,HH,4
cho---001in-,Cho,In-seong,LG,14
cho---001in-,Cho,In-seong,SSG,3
cho---000in-,Cho,In-Sin,LOT,3
kbo_68303,Cho,Jae-Geon,KIW,1
cho---000jae,Cho,Jae-ho,KIW,3
cho---000jae,Cho,Jae-ho,SSG,2
cho---002jae,Cho,Jae-hwan,KIA,4
cho---001jae,Cho,Jae-yeong,LG,3
cho---000jey,Cho,Je-yeong,DOO,4
cho---000jeo,Cho,Jeong-gwon,HH,3
cho---000jeo,Cho,Jeong-gwon,SAM,2
cho---002jun,Cho,Jeong-hun,LOT,9
jo----000jeo,Cho,Jeong-su,DOO,2
cho---004jun,Cho,Jeong-won,HH,4
kbo_63730,Cho,Ji-hun,HH,2
cho---002jin,Cho,Jin-Gu,DOO,1
cho---001jin,Cho,Jin-ho,SAM,2
cho---001jin,Cho,Jin-ho,SSG,1
cho---000jon,Cho,Jong-Gyu,DOO,1
cho---000jon,Cho,Jong-Gyu,KIA,1
kbo_53584,Cho,Jun-hyeok,LOT,1
kbo_66598,Cho,Jun-yeong,LOT,2
cho---000joo,Cho,Jung-geun,KIW,6
cho---000joo,Cho,Jung-geun,SSG,4
cho---000joo,Cho,Jung-geun,kt,2
cho---003jun,Cho,Jung-Seok,DOO,1
cho---000man,Cho,Man-Hyeong,LG,1
cho---000min,Cho,Min-cheol,KIA,2
cho---001min,Cho,Min-seok,NC,3
kbo_52405,Cho,Min-seong,SAM,2
cho---004min,Cho,Min-yeong,LOT,1
cho---001moo,Cho,Mu-geun,LOT,3
cho---001moo,Cho,Mu-geun,kt,3
kbo_67903,Cho,Mu-Seong,NC,2
cho---000mun,Cho,Mun-Gi,HH,2
cho---000moo,Cho,Mun-sik,SAM,6
cho---000nam,Cho,Nam-gi,KIA,2
cho---000pil,Cho,Pil-hyeon,LG,4
cho---000pye,Cho,Pyeong-ho,KIW,2
cho---000pye,Cho,Pyeong-ho,NC,7
cho---001san,Cho,Sang-Heon,LG,2
cho---000san,Cho,Sang-su,SAM,3
cho---002san,Cho,Sang-u,KIA,1
cho---002san,Cho,Sang-u,KIW,9
cho---000sej,Cho,Se-jin,LOT,2
kbo_68107,Cho,Seon-Myeong,DOO,1
kbo_68107,Cho,Seon-Myeong,LG,2
cho---004sun,Cho,Seong-hun,KIW,1
cho---004sun,Cho,Seong-hun,SSG,4
cho---000seo,Cho,Seong-hwan,LOT,13
cho---001sun,Cho,Seong-min,HH,3
cho---003sun,Cho,Seong-Mo,SSG,1
cho---004seo,Cho,Seong-ok,LOT,12
cho---002seo,Cho,Seong-u,HH,2
cho---002sun,Cho,Seong-u,SSG,2
cho---000deo,Cho,Seong-un,KIW,4
cho---001seo,Cho,Seung-su,DOO,6
cho---000soo,Cho,Su-haeng,DOO,9
cho---000sun,Cho,Sun-Gwon,KIW,1
kbo_75757,Cho,Tae-hun,HH,1
kbo_62694,Cho,Tae-jin,KIA,2
cho---000tae,Cho,Tae-su,KIA,8
kbo_63907,Cho,U-sang,HH,1
cho---000woo,Cho,Ung-cheon,SSG,9
jo----000won,Cho,Won-bin,NC,3
kbo_5035,Cho,Won-Go,SAM,1
cho---002won,Cho,Won-tae,LG,2
kbo_61494,Cho,Won-tae,SAM,3
